Aeropyrum pernix
Sulfolobus islandicus
Sulfolobus islandicus
Sulfolobus islandicus
Sulfolobus islandicus
Sulfolobus islandicus
Sulfolobus islandicus
Sulfolobus islandicus
Sulfolobus islandicus
Rhizobium etli
Pyrobaculum arsenaticum
Salmonella enterica
Salmonella enterica
Streptococcus pneumoniae
Salmonella enterica
Flavobacterium psychrophilum
Flavobacterium psychrophilum
Streptococcus pneumoniae
Campylobacter jejuni
Streptococcus pneumoniae
Flavobacterium psychrophilum
Flavobacterium psychrophilum
Streptococcus pneumoniae
Flavobacterium psychrophilum
Streptococcus pneumoniae
Pseudoalteromonas atlantica
Salmonella enterica
Flavobacterium psychrophilum
Streptococcus pneumoniae
Flavobacterium psychrophilum
Streptococcus pneumoniae
Klebsiella pneumoniae
Salmonella enterica
Flavobacterium psychrophilum
Escherichia coli
Streptococcus pneumoniae
Salmonella enterica
Flavobacterium psychrophilum
Flavobacterium psychrophilum
Escherichia coli
Gordonia alkanivorans
Escherichia coli
Flavobacterium psychrophilum
Salmonella enterica
Salmonella enterica
Streptococcus pneumoniae
Streptococcus pneumoniae
Escherichia coli
Flavobacterium psychrophilum
Salmonella enterica
Gordonia terrae
Salmonella enterica
Gordonia terrae
Gordonia terrae
Gordonia terrae
Gordonia terrae
Gordonia terrae
Mycolicibacterium smegmatis
Gordonia terrae
Staphylococcus epidermidis
Mycolicibacterium smegmatis
Bacillus subtilis
Klebsiella pneumoniae
Gordonia terrae
Gordonia terrae
Salmonella enterica
Gordonia terrae
Mycolicibacterium smegmatis
Gordonia terrae
Mycolicibacterium smegmatis
Mycolicibacterium smegmatis
Salmonella enterica
Enterococcus faecium
Mycolicibacterium smegmatis
Mycolicibacterium smegmatis
Mycolicibacterium smegmatis
Brucella inopinata
Gordonia terrae
Mycolicibacterium smegmatis
Gordonia terrae
Gordonia terrae
Salmonella enterica
Pseudomonas aeruginosa
Mycolicibacterium smegmatis
Mycolicibacterium smegmatis
Acinetobacter baumannii
Mycolicibacterium smegmatis
Gordonia terrae
Lactococcus lactis
Cutibacterium acnes
Gordonia terrae
Cutibacterium acnes
Bacillus thuringiensis
Erwinia amylovora
Staphylococcus aureus
Lactococcus lactis
Erwinia amylovora
Bacillus thuringiensis
Lactococcus lactis
Pseudomonas syringae
Bacillus thuringiensis
Lactococcus garvieae
Lactococcus lactis
Citrobacter freundii
Salmonella enterica
Streptococcus thermophilus
Bacillus thuringiensis
Klebsiella pneumoniae
Salmonella enterica
Bacillus thuringiensis
Gordonia terrae
Gordonia terrae
Escherichia coli
Gordonia terrae
Bacillus thuringiensis
Mycolicibacterium smegmatis
Lactobacillus casei
Bacillus thuringiensis
Bacillus subtilis
Lactococcus lactis
Mycolicibacterium smegmatis
Salmonella enterica
Erwinia amylovora
Lactococcus lactis
Staphylococcus aureus
Escherichia coli
Bacillus thuringiensis
Escherichia coli
Enterococcus faecalis
Gordonia terrae
Klebsiella pneumoniae
Bacillus thuringiensis
Bacillus cereus
Bacillus cereus
